location,date,variant,num_sequences,perc_sequences,num_sequences_total
Sweden,2021-02-08,B.1.1.302,32,0.61,5281
Sweden,2021-02-08,B.1.1.277,1,0.02,5281
Sweden,2021-02-08,B.1.1.519,0,0.0,5281
Sweden,2021-02-08,B.1.367,0,0.0,5281
Sweden,2021-02-08,B.1.177,1822,34.5,5281
Sweden,2021-02-08,Beta,118,2.23,5281
Sweden,2021-02-08,Alpha,1362,25.79,5281
Sweden,2021-02-08,Gamma,8,0.15,5281
Sweden,2021-02-08,Delta,0,0.0,5281
Sweden,2021-02-08,Kappa,0,0.0,5281
Sweden,2021-02-08,Epsilon,1,0.02,5281
Sweden,2021-02-08,Eta,0,0.0,5281
Sweden,2021-02-08,Iota,0,0.0,5281
Sweden,2021-02-08,Lambda,0,0.0,5281
Sweden,2021-02-08,B.1.621,0,0.0,5281
Sweden,2021-02-08,S:677P.Pelican,,,5281
Sweden,2021-02-08,S:677H.Robin1,,,5281
Sweden,2021-02-08,others,526,9.96,5281
Sweden,2021-02-08,non_who,3792,71.81,5281
Sweden,2021-02-22,B.1.160,407,4.54,8974
Sweden,2021-02-22,B.1.620,0,0.0,8974
Sweden,2021-02-22,B.1.258,297,3.31,8974
Sweden,2021-02-22,B.1.221,331,3.69,8974
Sweden,2021-02-22,B.1.1.302,51,0.57,8974
Sweden,2021-02-22,B.1.1.277,0,0.0,8974
Sweden,2021-02-22,B.1.1.519,2,0.02,8974
Sweden,2021-02-22,B.1.367,0,0.0,8974
Sweden,2021-02-22,B.1.177,1595,17.77,8974
Sweden,2021-02-22,Beta,383,4.27,8974
Sweden,2021-02-22,Alpha,5445,60.68,8974
Sweden,2021-02-22,Gamma,11,0.12,8974
Sweden,2021-02-22,Delta,0,0.0,8974
Sweden,2021-02-22,Kappa,0,0.0,8974
Sweden,2021-02-22,Epsilon,0,0.0,8974
Sweden,2021-02-22,Eta,0,0.0,8974
Sweden,2021-02-22,Iota,0,0.0,8974
Sweden,2021-02-22,Lambda,0,0.0,8974
Sweden,2021-02-22,B.1.621,0,0.0,8974
Sweden,2021-02-22,S:677P.Pelican,,,8974
Sweden,2021-02-22,S:677H.Robin1,,,8974
Sweden,2021-02-22,others,452,5.03,8974
Sweden,2021-02-22,non_who,3135,34.93,8974
Sweden,2021-03-08,B.1.160,192,1.79,10726
Sweden,2021-03-08,B.1.620,0,0.0,10726
Sweden,2021-03-08,B.1.258,223,2.08,10726
Sweden,2021-03-08,B.1.221,157,1.46,10726
Sweden,2021-03-08,B.1.1.302,35,0.33,10726
Sweden,2021-03-08,B.1.1.277,0,0.0,10726
Sweden,2021-03-08,B.1.1.519,0,0.0,10726
Sweden,2021-03-08,B.1.367,0,0.0,10726
Sweden,2021-03-08,B.1.177,1012,9.44,10726
Sweden,2021-03-08,Beta,342,3.19,10726
Sweden,2021-03-08,Alpha,8518,79.41,10726
Sweden,2021-03-08,Gamma,11,0.1,10726
Sweden,2021-03-08,Delta,0,0.0,10726
Sweden,2021-03-08,Kappa,0,0.0,10726
Sweden,2021-03-08,Epsilon,0,0.0,10726
Sweden,2021-03-08,Eta,1,0.01,10726
Sweden,2021-03-08,Iota,0,0.0,10726
Sweden,2021-03-08,Lambda,0,0.0,10726
Sweden,2021-03-08,B.1.621,0,0.0,10726
Sweden,2021-03-08,S:677P.Pelican,,,10726
Sweden,2021-03-08,S:677H.Robin1,,,10726
Sweden,2021-03-08,others,235,2.19,10726
Sweden,2021-03-08,non_who,1854,17.29,10726
Sweden,2021-03-22,B.1.160,118,0.97,12213
Sweden,2021-03-22,B.1.620,0,0.0,12213
Sweden,2021-03-22,B.1.258,74,0.61,12213
Sweden,2021-03-22,B.1.221,66,0.54,12213
Sweden,2021-03-22,B.1.1.302,1,0.01,12213
Sweden,2021-03-22,B.1.1.277,0,0.0,12213
Sweden,2021-03-22,B.1.1.519,0,0.0,12213
Sweden,2021-03-22,B.1.367,0,0.0,12213
Sweden,2021-03-22,B.1.177,537,4.4,12213
Sweden,2021-03-22,Beta,514,4.21,12213
Sweden,2021-03-22,Alpha,10780,88.27,12213
Sweden,2021-03-22,Gamma,12,0.1,12213
Sweden,2021-03-22,Delta,0,0.0,12213
Sweden,2021-03-22,Kappa,0,0.0,12213
Sweden,2021-03-22,Epsilon,0,0.0,12213
Sweden,2021-03-22,Eta,0,0.0,12213
Sweden,2021-03-22,Iota,0,0.0,12213
Sweden,2021-03-22,Lambda,0,0.0,12213
Sweden,2021-03-22,B.1.621,0,0.0,12213
Sweden,2021-03-22,S:677P.Pelican,,,12213
Sweden,2021-03-22,S:677H.Robin1,,,12213
Sweden,2021-03-22,others,111,0.89,12213
